Chinese_review,Janpanese_review,South_review,Chinese_stars,Janpanese_stars,South_stars
7,47,207,2.5,4,4
6,81,27,3.5,4,3
51,14,16,3.5,4,4.5
30,7,42,4,3,3
17,25,42,2.5,3.5,3.5
9,137,462,4.5,3.5,4
17,23,225,4,3.5,4.5
32,178,162,2.5,4,4
61,52,31,3,3.5,3.5
14,172,71,2.5,4,3.5
40,313,143,2.5,4.5,3.5
14,23,76,2.5,4,3.5
47,51,64,2.5,3.5,3.5
53,5,130,2,4,3.5
33,406,18,2.5,4,2.5
11,160,6,4,4,2.5
177,22,21,3.5,4.5,4.5
120,150,14,4,4,4
10,189,20,2,4,4
73,133,53,3,3.5,3.5
211,37,532,3,4,4
90,14,102,3,4,4.5
41,21,52,2.5,4.5,4
161,20,217,4,4,4
30,63,92,3,3,4
6,7,179,3.5,5,4
64,11,38,3.5,3.5,3.5
45,19,186,3.5,3,3.5
15,36,56,3,3,4
35,,128,3,,4
35,,,4.5,,
25,,,3,,